Document,true_label,predicted_label,confidence,correct
new monitor purchase po friday pm monitor purchase po dear purchased monitor monitor please log installation kind regards administrator,Hardware,Purchase,0.9999997615814208,False
your zone approver approver for tuesday november pm zone approver approver hello please zone approver approver updated ideally prefer approvals split approver nominations approver nominations possible split approvers according location thanks,HR Support,Miscellaneous,0.9999990463256836,False
po tuesday december pm po keyboards scattered over blame please create replenishment him his supporters please perform intend delivering remaining keyboards by thank administrator phone,Hardware,Purchase,0.9999990463256836,False
mailing list info belgrade please add mailing,HR Support,Miscellaneous,0.9999961853027344,False
request for conference code friday july pm code hello code order via thank much best regards cs tester,Hardware,Internal Project,0.99998939037323,False
po tuesday november pm po hello purchase monitor has please create monitor installed please kind perform attached screen guide thank administrator,Hardware,Purchase,0.9999799728393556,False
appointments massage chair approval flow wednesday july pm appointments massage chair hello ask help make flow booking massage chairs thanks,Hardware,Miscellaneous,0.9999675750732422,False
access to folders via calls mobile access folders via dear please could you help with following seem be unable make calls mobile phone cannot access files folders when using can access but then can access folders travelling next week require above by end week thanks head tax treasury,Storage,Hardware,0.9999324083328248,False
wrong caller name for wrong caller name for hello please log ticket was called by but caller looks be someone cheers application engineer,Hardware,Miscellaneous,0.9999276399612428,False
windows update restart loop issue update turn into infinite restart loop hi could you please take look laptop solve infinite restart loop after update thank you,Administrative rights,Hardware,0.9999274015426636,False
add to wireless and bucharest tuesday pm add hi please add wireless similar operation forwarded thanks update add dear further recent communication believe query has resolved resolution response please let further assistance matter reference number summary add resolver resolution notes description wednesday pm add hi please add wireless similar thanks lead kind regards ext ref msg,HR Support,Miscellaneous,0.9999020099639891,False
permission to send to all staff and to all staff friday october pm add shared mailbox hello regarding ask please permission members thank much best regards specialist,Miscellaneous,Storage,0.9998962879180908,False
virtual machine setup sent friday virtual machine hello tried install laptop using but get error vt disabled there with error attached can you please help changing bios settings thank you,HR Support,Hardware,0.999890685081482,False
approval flow oracle cod flow cod bun cod ca care se care la mine,Hardware,Miscellaneous,0.9998733997344972,False
retrieve unused hardware tuesday november pm upgrade query hello based please reassign unused regards technician tuesday november pm re upgrade query device virtual machine chief date tuesday november upgrade query hello upgrade devices received upgrade because inventory assigned device number please let decommission regards technician october pm re upgrade also chief,Purchase,Administrative rights,0.9998669624328612,False
for certificate error after password reset on for certificate error after password reset hi can sign into for after have password might need manually add certificates know where get them thank you,Hardware,Access,0.9998612403869628,False
need your approval for the licenses licenses hi please best regards analyst wednesday november pm licenses hi please help find tried find urgently approved thank head thursday november pm re licenses issue flow table approvers head thursday november pm re licenses hi come thanks head thursday november pm licenses hi has rejected by mistake needs again please approve requisition sorry inconveniences thanks head,Access,Miscellaneous,0.9998111128807068,False
transfer request oracle tuesday october re next steps regards director october next steps hello please assist completing transfer form kind regards analyst ext hub thursday october pm re next steps hello kind reminder help transfer form great administration officer re next steps hello please advise updates thank analyst community builder ext hub tuesday october pm re next steps hello please help by filling transfer form added zone which please kind fill entire form thank administration officer re next steps hello waiting transfer form make changes accounts best regards analyst community builder ext hub friday pm next steps hello per please transfer entity transfer date possible otherwise also transfer beginning st please let steps doing thank regards friday re next steps cum rand ii ca head architecture inca la la si pus si si la si si parte va la la rand interim head interim head architecture multi si ca ii la hands ii se si va tot si discipline ne cat va si va fie si va next steps va spun ca mine si si va la si zone si si care spun ca si va ca si ca la si si ales bun nominal spun ii care inca si care ca vin si ca mentor si ca va si logistic ca head fie si ca head architecture fie tot ca si success si se si continua si ca ca si ca va drag si ne face ca programmer ca si tot face ca si va inca octet ca programmer signing off head architecture,Hardware,HR Support,0.9997603297233582,False
team mail wednesday pm hi please create folder named comprised thank officer,Miscellaneous,Storage,0.9996875524520874,False
meeting room management guide mr booking change owner hi please change owner mr booking gal also user guide how administrate thank,Hardware,Miscellaneous,0.9996711015701294,False
show content sent tuesday november show content importance high hi seems we cannot show content screen because room we know credentials we need for can you please help regards senior software developer,HR Support,Hardware,0.9996339082717896,False
windows upgrade error install hi error persists could you please let know if there anything can side thanks sent thursday re install hi could you please let know if there any updates for below thanks sent tuesday install thank you sent tuesday install hi tried update via guide you sent other after while received below error could you please let know how proceed thanks planning analyst,Hardware,Administrative rights,0.9996336698532104,False
secure data to be added as assignment snow secure added assignment snow hello finds well writing respect log guys namely add secure assignment snow close tickets currently vendor show change assignment let require additional information assist way thank lovely best regards specialist,Storage,Miscellaneous,0.9995973706245422,False
issue issue hi guys need delete draft contract annex we can push through for approval contract id dc when we try gives message file only won delete can you please advise help around cheers manager,Hardware,Miscellaneous,0.9995970129966736,False
create for app cab july create app cab hi please create cab application details name cab application members owner please let questions best regards,Access,Miscellaneous,0.9995611310005188,False
problem with virtual machine sent thursday problem server se abs problem tome st one se ne se,Administrative rights,Hardware,0.999481737613678,False
notification update required friday pm re report has assigned hi push these updates users next friday possible please setup cr please two tickets log mentioned cr users attached via merge update version manually update forced assets next friday starting please advised update version version assigned highly critical perform upgrade based availability order avoid virus attacks latest virus database available order update please follow steps software center by searching software center search menu best endpoint agent install selected wait installation status becomes installed reboot computer icons newly installed endpoint tools note during update process lose approximately minutes questions encounter difficulties upgrading please hesitate ownerless assets log corresponding teams thank re report has assigned hello please find attached report upgraded assets columns details best regards senior engineer wednesday pm report has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location center summary report additional comments requirements wednesday pm importance high hi guys please run report provide users assets running out date thank assign reference assignment summary location center please link kind regards ref msg,Hardware,Administrative rights,0.9994809031486512,False
access hello seems unable access mailbox within could you please advise receive connection server lost get following error something went wrong we re having trouble getting your mailbox right please refresh or try again later if problem continues please contact your error data version date already restarted laptop pass seem be was able access other tools require same credentials also note trying connect thank you regards,Administrative rights,Hardware,0.9994410872459412,False
over days not showing correctly says should have over days instead sa ne normal inca over normal inca ca si sa fie si la la se face,HR Support,Hardware,0.999424934387207,False
po monitor hp wednesday october pm po hi monitor requested please log replenishment by thank administrator phone,Hardware,Purchase,0.999403953552246,False
oracle error error hi trying approve list get error below could you check thanks head en,Miscellaneous,HR Support,0.9992222785949708,False
ticket issue tuesday july user listings his importance high hello please advised has updated best regards analyst july pm re user listings his importance high hi log create shows accounts payable invoice attached,Miscellaneous,Access,0.9992044568061828,False
licenses licenses left licenses were disabled leavers,HR Support,Access,0.9991808533668518,False
windows upgrade insufficient space on partition update hello have sufficient space update drive request laptop device with bigger hard drive mine having also years old please update next weeks for current laptop because be some production deployments client site take part also weekends thank you test consultant en,Hardware,Administrative rights,0.9991575479507446,False
git access tuesday march pm platforms comparison connected git permissions hello please git repository platforms thank date tuesday march re platforms comparison connected git permissions added developer git cannot add probably thanks tuesday march pm platforms comparison connected hi please find attached document high level design overview source code located platforms track progress board work documented confluence connected cars lead by unfortunately covering licenses costs goals identify differences various platforms platforms comparison phase azure electric imp by azure next phases idea cover other platforms well ibm analysis include dumb devices vs edge devices languages various platforms speed ease pricing protocols agreed work platforms comparison also related opportunity short description vehicle driver has mount vehicle port automatically authenticated by starts monitoring tracking vehicle basic analysis done via module collecting archived database eventually alarm triggered crash hard stop boundary vehicle defined area user driver also carrier entities manage companies device monitoring by super companies available administer carrier companies managing carriers fleets vehicles drivers further dashboard companies available basic functionalities position map table basic alarms alerts per carrier historical per carrier vehicle dashboard carrier subset dashboard where carrier track monitor own fleet position map table basic alarms alerts user driver develop application minimal alerts alarms presented visually driver architectural proposal details available confluence platforms link connected cars link hardware devices platforms azure programming languages squirrel hibernate node databases mobile client android client sprint demos available regards,Hardware,Access,0.9991326928138732,False
mail redirect for tuesday july redirect good morning mailbox has permanent redirect please change redirect instead thanks,HR Support,Storage,0.9991043210029602,False
am unauthorized access granted sent monday hi guys could you please let know added owner haven approved request thanks manager en,Hardware,Miscellaneous,0.9990869760513306,False
please set as project manager for project tuesday please importance high dear please except code thank best regards,Miscellaneous,Internal Project,0.9990272521972656,False
setup for thursday pm setup hi please attached filled out document repository setup provide please thanks application engineer ext,Internal Project,Access,0.9990116357803344,False
license allocation license allocation hi please order allocated bellow licenses per total number supported points per total number active per total active per proposed purchase per per per per additional information please let coordinator purchase po hi purchased ct adder licenses controller con upgrades adder licenses kind regards administrator,Access,Purchase,0.9990115165710448,False
please add new team joiners to common addresses wednesday november pm please add joiners common addresses importance high hello please add common addresses romanian regards leader,HR Support,Miscellaneous,0.9989952445030212,False
create project wednesday create hi please help create zephyr details attached thanks senior tester,Access,Internal Project,0.9989644289016724,False
access to train test db server via wednesday pm train test via dear please provide train test via please let details needed thanks tester registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity,HR Support,Hardware,0.9989006519317628,False
